Steps,Action,Change,Network
1241,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1242,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1243,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1244,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1245,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1246,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1247,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1248,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1249,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1250,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1251,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1252,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1253,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1254,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1255,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1256,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1257,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1258,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1259,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1260,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1261,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1262,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1263,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1264,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1265,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1266,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1267,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1268,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1269,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1270,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1271,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1272,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1273,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1274,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1275,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1276,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1277,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1278,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1279,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1280,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1281,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1282,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1283,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1284,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1285,"Exploit: target=(1, 14), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1",original,medium-single-site.yaml
1286,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1287,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1288,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1289,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1290,"PrivilegeEscalation: target=(1, 4), cost=1.00, prob=1.00, req_access=USER, os=windows, process=schtask, access=2",original,medium-single-site.yaml
1291,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1292,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1293,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1294,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1295,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1296,"ServiceScan: target=(1, 2), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1297,"PrivilegeEscalation: target=(1, 1), cost=1.00, prob=1.00, req_access=USER, os=windows, process=schtask, access=2",original,medium-single-site.yaml
1298,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1299,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1300,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1301,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1302,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1303,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1304,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1305,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1306,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1307,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1308,"OSScan: target=(1, 7), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1309,"ServiceScan: target=(1, 1), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1310,"ServiceScan: target=(1, 5), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1311,"Exploit: target=(1, 1), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1",original,medium-single-site.yaml
1312,"ProcessScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1313,"Exploit: target=(1, 7), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1",original,medium-single-site.yaml
1314,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1315,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1316,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1317,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1318,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1319,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1320,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1321,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1322,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1323,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1324,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1325,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1326,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1327,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1328,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1329,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1330,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1331,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1332,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1333,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1334,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1335,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1336,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1337,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1338,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1339,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1340,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1341,"Exploit: target=(1, 1), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1",original,medium-single-site.yaml
1342,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1343,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1344,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1345,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1346,"Exploit: target=(1, 11), cost=3.00, prob=0.60, req_access=USER, os=windows, service=smtp, access=1",original,medium-single-site.yaml
1347,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1348,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1349,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1350,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1351,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1352,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1353,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1354,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1355,"Exploit: target=(1, 2), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1",original,medium-single-site.yaml
1356,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1357,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1358,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1359,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1360,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1361,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1362,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1363,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1364,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1365,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1366,"SubnetScan: target=(1, 7), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1367,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1368,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1369,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1370,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1371,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1372,"ServiceScan: target=(1, 10), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1373,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1374,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1375,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1376,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1377,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1378,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1379,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1380,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1381,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1382,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1383,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1384,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1385,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1386,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1387,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1388,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1389,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1390,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1391,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1392,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1393,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1394,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1395,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1396,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1397,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1398,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1399,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1400,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1401,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1402,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1403,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1404,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1405,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1406,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1407,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1408,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1409,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1410,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1411,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1412,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1413,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1414,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1415,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1416,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1417,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1418,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1419,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1420,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1421,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1422,"SubnetScan: target=(1, 5), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1423,"Exploit: target=(1, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1",original,medium-single-site.yaml
1424,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1425,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1426,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1427,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1428,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1429,"Exploit: target=(1, 1), cost=2.00, prob=0.30, req_access=USER, os=linux, service=samba, access=2",original,medium-single-site.yaml
1430,"OSScan: target=(1, 13), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1431,"SubnetScan: target=(1, 4), cost=1.00, prob=1.00, req_access=USER",original,medium-single-site.yaml
1432,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1433,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1434,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1435,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1436,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1437,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1438,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1439,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1440,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1441,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1442,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1443,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1444,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1445,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1446,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1447,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1448,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1449,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1450,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1451,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1452,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1453,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1454,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1455,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
1456,"PrivilegeEscalation: target=(1, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2",original,medium-single-site.yaml
