,action_num_val,action_verbose
920,55,"OSScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
921,27,"ServiceScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
922,54,"ServiceScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
923,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
924,8,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
925,26,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
926,23,"Exploit: target=(3, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
927,30,"ProcessScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
928,55,"OSScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
929,50,"Exploit: target=(3, 3), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
930,12,"ProcessScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
931,46,"OSScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
932,56,"SubnetScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
933,44,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
934,12,"ProcessScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
935,57,"ProcessScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
936,62,"PrivilegeEscalation: target=(3, 4), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
937,39,"ProcessScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER"
938,55,"OSScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
939,63,"ServiceScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
940,27,"ServiceScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
941,66,"ProcessScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
942,6,"Exploit: target=(1, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
943,20,"SubnetScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
944,48,"ProcessScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
945,51,"Exploit: target=(3, 3), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
946,29,"SubnetScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
947,45,"ServiceScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
948,68,"Exploit: target=(4, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
949,69,"Exploit: target=(4, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
950,28,"OSScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
951,46,"OSScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
952,33,"Exploit: target=(3, 1), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
953,42,"Exploit: target=(3, 2), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
954,65,"SubnetScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
955,29,"SubnetScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
956,30,"ProcessScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
957,62,"PrivilegeEscalation: target=(3, 4), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
958,45,"ServiceScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
959,70,"PrivilegeEscalation: target=(4, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
960,31,"Exploit: target=(3, 1), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
961,19,"OSScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
962,42,"Exploit: target=(3, 2), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
963,42,"Exploit: target=(3, 2), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
964,54,"ServiceScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
965,9,"ServiceScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
966,25,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
967,33,"Exploit: target=(3, 1), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
968,23,"Exploit: target=(3, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
969,35,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
970,47,"SubnetScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
971,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
972,23,"Exploit: target=(3, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
973,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
974,70,"PrivilegeEscalation: target=(4, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
975,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
976,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
977,3,"ProcessScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
978,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
979,67,"Exploit: target=(4, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
980,46,"OSScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
981,15,"Exploit: target=(2, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
982,57,"ProcessScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
983,26,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
984,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
985,53,"PrivilegeEscalation: target=(3, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
986,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
987,7,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
988,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
989,59,"Exploit: target=(3, 4), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
990,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
991,28,"OSScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
992,51,"Exploit: target=(3, 3), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
993,63,"ServiceScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
994,18,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
995,15,"Exploit: target=(2, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
996,48,"ProcessScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
997,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
998,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
999,9,"ServiceScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1000,31,"Exploit: target=(3, 1), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1001,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1002,43,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1003,61,"PrivilegeEscalation: target=(3, 4), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1004,3,"ProcessScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1005,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1006,4,"Exploit: target=(1, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1007,49,"Exploit: target=(3, 3), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1008,57,"ProcessScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
1009,5,"Exploit: target=(1, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1010,31,"Exploit: target=(3, 1), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1011,46,"OSScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
1012,35,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1013,6,"Exploit: target=(1, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
1014,25,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1015,13,"Exploit: target=(2, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1016,8,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1017,10,"OSScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1018,68,"Exploit: target=(4, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1019,65,"SubnetScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
1020,55,"OSScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
1021,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1022,10,"OSScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1023,11,"SubnetScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1024,12,"ProcessScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1025,44,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1026,4,"Exploit: target=(1, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1027,3,"ProcessScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1028,13,"Exploit: target=(2, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1029,13,"Exploit: target=(2, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1030,26,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1031,40,"Exploit: target=(3, 2), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1032,58,"Exploit: target=(3, 4), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1033,44,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1034,54,"ServiceScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
1035,14,"Exploit: target=(2, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1036,29,"SubnetScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
1037,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1038,15,"Exploit: target=(2, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
1039,67,"Exploit: target=(4, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1040,29,"SubnetScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
1041,17,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1042,56,"SubnetScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
1043,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1044,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1045,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1046,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1047,34,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1048,46,"OSScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
1049,71,"PrivilegeEscalation: target=(4, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1050,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1051,3,"ProcessScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1052,4,"Exploit: target=(1, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1053,12,"ProcessScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1054,34,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1055,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1056,45,"ServiceScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
1057,40,"Exploit: target=(3, 2), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1058,64,"OSScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
1059,5,"Exploit: target=(1, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1060,65,"SubnetScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
1061,57,"ProcessScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
1062,17,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1063,17,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1064,31,"Exploit: target=(3, 1), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1065,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1066,26,"PrivilegeEscalation: target=(3, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1067,3,"ProcessScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1068,16,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1069,6,"Exploit: target=(1, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
1070,7,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1071,48,"ProcessScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
1072,38,"SubnetScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER"
1073,57,"ProcessScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
1074,29,"SubnetScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
1075,60,"Exploit: target=(3, 4), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
1076,4,"Exploit: target=(1, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1077,3,"ProcessScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1078,34,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1079,64,"OSScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
1080,8,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1081,34,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1082,5,"Exploit: target=(1, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1083,41,"Exploit: target=(3, 2), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1084,60,"Exploit: target=(3, 4), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
1085,63,"ServiceScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
1086,9,"ServiceScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1087,30,"ProcessScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
1088,28,"OSScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
1089,10,"OSScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1090,11,"SubnetScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1091,67,"Exploit: target=(4, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1092,62,"PrivilegeEscalation: target=(3, 4), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1093,29,"SubnetScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
1094,41,"Exploit: target=(3, 2), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1095,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1096,55,"OSScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
1097,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1098,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1099,30,"ProcessScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
1100,65,"SubnetScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
1101,16,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1102,49,"Exploit: target=(3, 3), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1103,24,"Exploit: target=(3, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
1104,6,"Exploit: target=(1, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
1105,35,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1106,29,"SubnetScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
1107,50,"Exploit: target=(3, 3), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1108,20,"SubnetScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
1109,17,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1110,35,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1111,53,"PrivilegeEscalation: target=(3, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1112,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1113,3,"ProcessScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1114,44,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1115,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1116,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1117,18,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
1118,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1119,23,"Exploit: target=(3, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1120,3,"ProcessScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1121,4,"Exploit: target=(1, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1122,40,"Exploit: target=(3, 2), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1123,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1124,67,"Exploit: target=(4, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1125,47,"SubnetScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
1126,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1127,5,"Exploit: target=(1, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1128,43,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1129,17,"PrivilegeEscalation: target=(2, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1130,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1131,6,"Exploit: target=(1, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
1132,7,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1133,44,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1134,7,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1135,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1136,55,"OSScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
1137,41,"Exploit: target=(3, 2), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1138,13,"Exploit: target=(2, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1139,8,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1140,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1141,9,"ServiceScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1142,10,"OSScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1143,11,"SubnetScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1144,60,"Exploit: target=(3, 4), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
1145,31,"Exploit: target=(3, 1), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1146,3,"ProcessScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1147,12,"ProcessScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1148,27,"ServiceScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
1149,14,"Exploit: target=(2, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1150,4,"Exploit: target=(1, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1151,13,"Exploit: target=(2, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1152,55,"OSScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
1153,27,"ServiceScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
1154,50,"Exploit: target=(3, 3), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1155,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1156,69,"Exploit: target=(4, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
1157,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1158,6,"Exploit: target=(1, 0), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
1159,59,"Exploit: target=(3, 4), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1160,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1161,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1162,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1163,3,"ProcessScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1164,65,"SubnetScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
1165,43,"PrivilegeEscalation: target=(3, 2), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1166,34,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1167,48,"ProcessScan: target=(3, 3), cost=1.00, prob=1.00, req_access=USER"
1168,4,"Exploit: target=(1, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1169,30,"ProcessScan: target=(3, 1), cost=1.00, prob=1.00, req_access=USER"
1170,5,"Exploit: target=(1, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1171,64,"OSScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
1172,56,"SubnetScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
1173,34,"PrivilegeEscalation: target=(3, 1), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1174,5,"Exploit: target=(1, 0), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1175,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1176,65,"SubnetScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
1177,42,"Exploit: target=(3, 2), cost=2.00, prob=0.90, req_access=USER, os=None, service=http, access=1"
1178,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1179,64,"OSScan: target=(4, 0), cost=1.00, prob=1.00, req_access=USER"
1180,7,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1181,53,"PrivilegeEscalation: target=(3, 3), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1182,7,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
1183,3,"ProcessScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1184,56,"SubnetScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
1185,40,"Exploit: target=(3, 2), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1186,1,"OSScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1187,8,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=windows, process=daclsvc, access=2"
1188,13,"Exploit: target=(2, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1189,9,"ServiceScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1190,22,"Exploit: target=(3, 0), cost=3.00, prob=0.90, req_access=USER, os=linux, service=ssh, access=1"
1191,56,"SubnetScan: target=(3, 4), cost=1.00, prob=1.00, req_access=USER"
1192,0,"ServiceScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1193,10,"OSScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1194,50,"Exploit: target=(3, 3), cost=1.00, prob=0.60, req_access=USER, os=windows, service=ftp, access=1"
1195,11,"SubnetScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1196,18,"ServiceScan: target=(3, 0), cost=1.00, prob=1.00, req_access=USER"
1197,39,"ProcessScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER"
1198,2,"SubnetScan: target=(1, 0), cost=1.00, prob=1.00, req_access=USER"
1199,12,"ProcessScan: target=(2, 0), cost=1.00, prob=1.00, req_access=USER"
1200,37,"OSScan: target=(3, 2), cost=1.00, prob=1.00, req_access=USER"
1201,7,"PrivilegeEscalation: target=(1, 0), cost=1.00, prob=1.00, req_access=USER, os=linux, process=tomcat, access=2"
